a|A1|PRODUCTION|N/A|N/A||||||Closed
ABI|ABI DBA|PRODUCTION|BUD4|100%|14.10.05.03|14.1|6700|NA|NA|Active
ABI|ABI DBA|TEST|BUD5|95%|14.10.05.03|14.1|6700|NA|NA|Active
ABI|ABI DBA|DEV|BUD6|100%|14.10.05.03|14.1|6700|NA|NA|Active
AEG|AEG|PRODUCTION|AEGPROD|100%|15.00.04.02|15|2690|NA|NA|Active
Air Canada|AIRCANADA|PRODUCTION|AIRCANPRD2|100%|14.10.07.07|14.1|6700c|NA|NA|Active
Air Canada|AIRCANADA|DEV|AIRCANDEV|100%|13.10.07.47|13.1|551P |NA|NA|Active
Alcatel Lucent|ALCATEL LUCENT|PRODUCTION|DNU57|100%|13.00.01.08|13|6844|NA|NA|Closed
Alcatel Lucent|ALCATEL LUCENT|DEV|DNU55|100%|13.00.01.08|13|2580|NA|NA|Closed
ALTRIA|ALTRIA|PRODUCTION|ALTRIA2|75%|14.10.07.09|14.1|6750H|NA|NA|Active
ALTRIA|ALTRIA|UAT|ALTRIA1|100%|14.10.07.09|14.1|6650H|NA|NA|Active
ALTRIA|ALTRIA|DEV|ALTRIA4|100%|14.10.07.09|14.1|670C|NA|NA|Active
American Airlines|AMERICAN AIRLINES DBA|TEST|AATEST4|100%|15.10.02.03|15.1|2800|NA|NA|Active
American Airlines|AMERICAN AIRLINES DBA|UAT|AACERT5|100%|15.10.02.03|15.1|2750|NA|NA|Active
American Airlines|AMERICAN AIRLINES DBA|PRODUCTION|AAPROD4|75%|15.10.02.03|15.1|6800H|NA|NA|Active
American Airlines|AMERICAN AIRLINES DBA|PRODUCTION|AAPROD5|100%|15.10.02.03|15.1|2800|NA|NA|Active
American Airlines|AMERICAN AIRLINES DBA|PRODUCTION|AAPPROD1|100%|15.10.02.03|15.1|2800|NA|NA|Active
American Airlines|AMERICAN AIRLINES DBA|TEST|AATEST5|100%|15.10.02.03|15.1|2800|NA|NA|Active
American Airlines|AMERICAN AIRLINES DBA|PRODUCTION|AAMOSDR01|100%|15.10.02.03|15.1|680|NA|NA|Active
Apple Inc|APPLE DBA/APPLE PT|PRODUCTION|APPLE43REDWOOD|100%|14.10.07.22D2D|14.1|6800H|NA|NA|Active
Apple Inc|APPLE DBA/APPLE PT|PRODUCTION|APPLE41MEGADEW|100%|14.10.07.22D2D|14.1|6700|NA|NA|Active
Apple Inc|APPLE DBA/APPLE PT|PRODUCTION|APPLE33EDMAID|100%|15.10.04.02e|15.1|2650|NA|NA|Active
Apple Inc|APPLE DBA/APPLE PT|PRODUCTION|APPLE27EDMARK|100%|15.10.04.02e|15.1|2650|NA|NA|Active
Apple Inc|APPLE DBA/APPLE PT|PRODUCTION|APPLE BLANEY|100%|15.10.04.02e|15.1|6800H|NA|NA|Active
Apple Inc|APPLE DBA/APPLE PT|   DEVLOPMENT|APPLE39EDWSIT|100%|15.10.04.02e|15.1|6750HDD|NA|NA|Active
Apple Inc|APPLE DBA/APPLE PT|   DEVLOPMENT|APPLE20EDWDEV|100%|14.10.07.22D2D|14.1|2650|NA|NA|Active
Apple Inc|APPLE DBA/APPLE PT|   DEVLOPMENT|APPLE38EDWUAT|100%|14.10.07.22D2D|14.1|6750HDD|NA|NA|Active
Ascena|ASCENA|PRODUCTION|CharmingPROD2|100%|13.10.02.10|13.1|(3+3 Node)6650H & 2 Node 5600C PE Only|NA|NA|Active
Ascena|ASCENA|DEV|ASCENA01|100%|13.10.07.33|13.1|670|NA|NA|Active
Audi|AUDI|PRODUCTION|AUDIBIQ1|100%|15.10.02.09|15.1|2700|NA|NA|Active
Aviva Canada|AVIVA CANADA|PRODUCTION|TDPROD|Disabled|14.00.07.04|14|2580|NA|NA|Active
Aviva Canada|AVIVA CANADA|DEV|TDDEV|Disabled|14.00.07.04|14|2580|NA|NA|Active
Bank of Ireland|BANK OF IRELAND|PRODUCTION|BOI6700PROD|100%|14.10.03.06|14.1|6700C|NA|NA|Active
Bank of Ireland|BANK OF IRELAND|UAT|BOI6700PREPROD|100%|14.10.03.06|14.1|670C|NA|NA|Active
Barclays |BARCLAYS |PRODUCTION|DWSANA|100%|14.00.07.16|14|           5600C & 5650H|NA|NA|Active
Barclays |BARCLAYS |PRODUCTION|DWSZAPRD|100%|14.00.07.03|14|6700|NA|NA|Active
Barclays |BARCLAYS |DEV|DWSOAT|100%|14.00.07.16|14|2700|NA|NA|Active
Barclays |BARCLAYS |DEV|DWSZASAR|100%|14.00.07.16|14|2700|NA|NA|Active
BCBSMN|BCBS MN|PRODUCTION|BCBSMN2800P|100%|14.10.05.03|14.1|2800|NA|NA|Active
BCBSMN|BCBS MN|DEV/QA|BCBSMN2650DEV|100%|14.10.05.03|14.1|2650|NA|NA|Active
BCBSMN|BCBS MN|DR|BCBSMN2650DR|100%|14.10.05.03|14.1|2650|NA|NA|Active
BevMo!|BEVMO|PRODUCTION|TDCLOUD02C|100%|13.10.07.08|13.1|2690|NA|NA|Active
BIMBO|BIMBO MEXICO|PRODUCTION|BIMBO1|100%|13.10.02.18|13.1|5555H|NA|NA|Closed
BIMBO|BIMBO MEXICO|DEV|BIMBO2|100%|13.10.02.18|13.1|5450E|NA|NA|Closed
Bimbo Global|BIMBO GLOBAL|PRODUCTION|BIMBO03|100%|14.10.02.05|14.1|2690|NA|NA|Active
Bimbo Global|BIMBO GLOBAL|DEV|BIMBO04|100%|14.10.03.11|14.1|670HDD|NA|NA|Active
